video_id,title,description,published_at,views,likes,comments,duration,traffic_source,device,duration_sec,year,month,day,weekday,likes_per_view,comments_per_view,video_type,ctr
Zluqaak_Gbw,IAGO BERSERKER desafia o BORA BUSCAR,Iago Berserker vs Bora Buscar! Quem ganha?,2025-02-06 15:56:40+00:00,1934,130,8,PT27S,Unknown,Unknown,27.0,2025,2,6,Thursday,0.0672182006204757,0.004136504653567736,Short,
k5llCbt30qo,"PRÓ-HORMONIOS: O ""Suco"" light?",Os perigos dos pró-hormônios,2025-02-05 15:18:22+00:00,1468,132,0,PT44S,Unknown,Unknown,44.0,2025,2,5,Wednesday,0.08991825613079019,0.0,Short,
Tbr-BOjuETU,MITO ou REALIDADE? O Aikido pode melhorar seu Jiu-Jitsu? | Dojo do Merloto #022,"🎥 Aikido no Jiu-Jitsu? Funciona mesmo ou é só cena?

Fala, monstros! 💪 No vídeo de hoje do Dojo do Merloto, vamos explorar uma fusão inesperada: Aikido e Jiu-Jitsu! Trouxemos Leonardo Sobre, especialista em Aikido, e Diego, faixa marrom e competidor de Jiu-Jitsu, para testar técnicas, adaptações e até revelar algumas verdades sobre a eficácia dessas artes marciais.

🤔 Será que o Aikido realmente agrega ao jogo do Jiu-Jitsu? Dá pra usar essas técnicas numa luta real?

🔥 Assista até o final para ver os testes na prática e deixe nos comentários o que você acha!

📌 Onde treinar Aikido?
Dojo Semeikan – Rua Vergueiro, 7418, próximo ao metrô Alto do Ipiranga, SP.
https://seimeikandojo.com/

💥 Se liga nos descontos da Growth!
🛒 http://gsuplementos.com.br/
💰 Cupom MERLOTO para o maior desconto!

🚨 INSCREVA-SE NO CANAL e ative o sininho para não perder os próximos vídeos!

🥋 KIMONO DE JIU JITSU GORILLA FOR FIGHT
🥋 https://www.gorillaoficial.com.br/kimonos
🥋 UTILIZE O CUPOM DE DESCONTO: MERLOTO

CANAL DE CORTES OFICIAL
https://www.youtube.com/@CortesdoFabricaOFICIAL",2025-02-04 21:45:01+00:00,20278,519,53,PT14M40S,Unknown,Unknown,880.0,2025,2,4,Tuesday,0.025594240063122595,0.0026136699871782227,Longo,
Fr1UwiwDRJc,Como HENRIQUE MERLOTO dominou o NUNCHAKU,"A prática de manobras com nunchaku é fundamental para aprimorar o controle, a precisão e a fluidez dos movimentos. O treino constante fortalece a coordenação motora, a percepção espacial e os reflexos, habilidades essenciais para o manuseio eficiente dessa arma. Além disso, explorar diferentes técnicas amplia o repertório de ataques e defesas, proporcionando maior versatilidade em situações de combate. O domínio do nunchaku vai além da força física, exigindo técnica e concentração. Giros, golpes velozes e transições entre as mãos não apenas elevam sua destreza ofensiva, mas também fortalecem os músculos do braço, pulso e ombro, garantindo melhor desempenho. Com dedicação e treinamento adequado, o nunchaku se torna uma verdadeira extensão do corpo, permitindo combinações criativas e imprevisíveis de movimentos. Assim, essa arma se revela uma poderosa ferramenta tanto para defesa pessoal quanto para demonstrações de artes marciais.",2025-02-04 15:23:20+00:00,5111,355,4,PT43S,Unknown,Unknown,43.0,2025,2,4,Tuesday,0.06945803169634122,0.000782625709254549,Short,
c4zQZ6Fud6o,Entrou NUM CAMPEONATO SEM CONSENTIMENTO,Rodolfo Bellato (Trator) foi inscrito numa COMPETIÇÃO DE KICKBOXING sem o seu consentimento! O que faria nessa situação?,2025-02-03 17:32:12+00:00,8826,1108,9,PT1M1S,Unknown,Unknown,61.0,2025,2,3,Monday,0.12553818264219352,0.0010197144799456153,Longo,
xemEuMrioLw,A maior REVIRAVOLTA do UFC em 2025?,Rodolfo Bellato (Trator) conta como saiu de uma das situações mais difíceis da sua carreira!,2025-02-03 00:09:47+00:00,44579,5292,33,PT1M6S,Unknown,Unknown,66.0,2025,2,3,Monday,0.11871060364745732,0.0007402588662823302,Longo,
9IJ4urTugKI,"""O NOCAUTE que Mudou Minha Vida"" - Rodolfo TRATOR!  | Fala Monstro Talk Show #019","Fábrica de Monstros tá no ar! Sejam bem-vindos a mais um Fala Monstro Talk Show, e hoje o papo é casca grossa! 🥋💥

Recebemos um convidado especial, o primeiro lutador profissional do UFC a sentar aqui com a gente! Diretamente da turma do Jhaba, ele tem uma história de superação digna de filme, cheia de altos e baixos, desafios e reviravoltas inacreditáveis!

Se liga que hoje o Rodolfo Trator conta tudo sobre sua trajetória no MMA, a vida dentro e fora do octógono, e como ele superou os maiores obstáculos da carreira. Não perde, porque essa resenha tá PESADA!

Compre GROWTH:
https://gsuplementos.com.br

Compre INSIDER:
https://insiderstore.com.br
Cupom: FABRICADEMONSTROS

Compre Pichau:
https://pichau.com.br

____________________________________________________________

Redes sociais

Leo Stronda
https://instagram.com/leostronda

Rodolfo Trator
https://instagram.com/rodolfotrator_mma

Jhaba Casca Grossa
https://instagram.com/jhaba_cascagrossa",2025-02-02 15:00:07+00:00,9664,924,61,PT2H30M27S,Unknown,Unknown,9027.0,2025,2,2,Sunday,0.09561258278145696,0.006312086092715232,Longo,
h5fONdc6nTo,LUIZ MESQUITA VS RAMON DINO - Quem vence essa luta?,E se o calistênico LUIZ OTÁVIO MESQUITA saisse na mão com o fisiculturista RAMON DINO?,2025-01-31 15:15:02+00:00,7887,759,6,PT25S,Unknown,Unknown,25.0,2025,1,31,Friday,0.09623430962343096,0.0007607455306200076,Short,
VPfUpuoPH5w,O AQUECIMENTO DE LEVE DE UM POWERLIFTER,,2025-01-30 15:28:45+00:00,8969,721,5,PT30S,Unknown,Unknown,30.0,2025,1,30,Thursday,0.0803880031218642,0.0005574757498048835,Short,
N5pjTaGkBsM,Shape vs. Saúde Mental: QUANTO O SUCO TE AFETA? | Confia no Doc #021,"👉 Já ouviu falar nos impactos das substâncias hormonais na saúde mental? No episódio de hoje do Confia no Doc, vamos explorar como produtos usados para ganho de massa e força podem afetar o cérebro. Alterações de humor, ansiedade, agressividade e até sintomas de depressão são possíveis riscos quando essas substâncias são usadas sem acompanhamento médico.

🎯 O que você vai aprender neste vídeo:

Como hormônios sintéticos podem interferir no equilíbrio químico do cérebro.
Os riscos do uso inadequado de substâncias para ganho de massa.
A importância de manter o equilíbrio entre a saúde física e mental.
Dicas práticas para crescer de forma consciente e segura.
💡 Lembre-se: Buscar resultados de forma segura é o caminho. Não negligencie sua saúde mental. Se notar alterações no comportamento ou no humor, procure ajuda especializada. Sua paz de espírito vale mais que qualquer shape.

🧪 Dica bônus: Para resultados seguros e eficientes, confie nos suplementos da Growth Supplements. Use o cupom DOC para descontos exclusivos!
https://gsumplementos.com.br

📩 Deixe nos comentários se você já sabia desses impactos e compartilhe sua experiência. Estamos aqui para crescer juntos, com saúde e responsabilidade.

CANAL DE CORTES OFICIAL
https://www.youtube.com/@CortesdoFabricaOFICIAL",2025-01-29 21:45:01+00:00,3561,458,13,PT5M43S,Unknown,Unknown,343.0,2025,1,29,Wednesday,0.12861555742768885,0.0036506599269868017,Longo,
